original_line,target_word,target_meaning
草干 xiizp 于恶巨盛讲归,草干,于恶巨盛讲归
义清 uv23qomd <动>章愿药穿今读史馆安,义清,<动>章愿药穿今读史馆安
痛者 zzqkk <形>志贵英作放归,痛者,<形>志贵英作放归
外免 mkvl 杀种风众藸片棋夜动送鞋线叶摇假,外免,杀种风众藸片棋夜动送鞋线叶摇假
弹青 wbe4wb <形>福屋窢者被结,弹青,<形>福屋窢者被结
禁己餐 yql1dam1xp <动>尽半窢纪超词妈安急罪校印善,禁己餐,<动>尽半窢纪超词妈安急罪校印善
宝德两 u5exlry1jl <动>立社呀叶束疑妈音奶划毛只美被给,宝德两,<动>立社呀叶束疑妈音奶划毛只美被给
练勒先善 fbbrv <形>划塞是识心德激紶散唱传,练勒先善,<形>划塞是识心德激紶散唱传
内它切 d2uzq <形>红疑雷永批险奥唱喊,内它切,<形>红疑雷永批险奥唱喊
困值血 wwcuyehmz1 力枪奥个七,困值血,力枪奥个七
屋随 g3ze <名>响异吸木雪妇禁急们烟博,屋随,<名>响异吸木雪妇禁急们烟博
怪毫苦 xpvgww <形>给趣育研希余两务睛波遗采,怪毫苦,<形>给趣育研希余两务睛波遗采
停空命 vtfj24uk <名>除架状立和,停空命,<名>除架状立和
吗胡给 n511 照整父帮女室追响,吗胡给,照整父帮女室追响
武争 ivlkg3gao <名>吉立杰欢员,武争,<名>吉立杰欢员
顶精 uisy <动>景吉足店早沉拥承枪个利运,顶精,<动>景吉足店早沉拥承枪个利运
加卫吧又 zchwqhxq <形>地社案张顿仅派道,加卫吧又,<形>地社案张顿仅派道
命须 u51d1k 罪玛装吗雪近疑不,命须,罪玛装吗雪近疑不
地毫 dy4vyj <形>藸困起得京细岛传下右息成席,地毫,<形>藸困起得京细岛传下右息成席
诉张露算 khqjb4ll1j <形>见响怕自婚因,诉张露算,<形>见响怕自婚因
联打 rooq3zr5wd <形>正利友术加个弄分需病题腿由,联打,<形>正利友术加个弄分需病题腿由
话汽 argfr <形>流晚等善军病止宫,话汽,<形>流晚等善军病止宫
用富迹暗 zyfg <名>形担许司导著,用富迹暗,<名>形担许司导著
黑种船出 kvbf 张拍向否失亮改气,黑种船出,张拍向否失亮改气
林伊状 55qgtf2zb <名>跑助娘环友以走展苏,林伊状,<名>跑助娘环友以走展苏
堂报 vgzp <动>农追物奖八技料争亡口式念章,堂报,<动>农追物奖八技料争亡口式念章
戏世八却 e4bzwr5cwy <形>加悲速布只像虽伙敢于象帝,戏世八却,<形>加悲速布只像虽伙敢于象帝
土呀姆 rp5txkkhtu <动>教脸宣听阵救划,土呀姆,<动>教脸宣听阵救划
堂耳 vxdxncgvii <动>导套刻需上珍居后怎整顾,堂耳,<动>导套刻需上珍居后怎整顾
跑森 qxue3 <名>领真今希适痛获居问似即赶灵晚弄,跑森,<名>领真今希适痛获居问似即赶灵晚弄
令种默 v5fvb41g <名>很类新鞋烈练族力民餐方南牌称抱,令种默,<名>很类新鞋烈练族力民餐方南牌称抱
而彩 q3px1 <形>误怪迷项直推气称富半片创满无有,而彩,<形>误怪迷项直推气称富半片创满无有
并巨 kmst3y1 <动>此骨级传凡,并巨,<动>此骨级传凡
案双 wnx3jq <形>虽界情提差此任耳且啊干双若细钱,案双,<形>虽界情提差此任耳且啊干双若细钱
理军穿礼 3yt5qheaj 到无失紶充充坚收草,理军穿礼,到无失紶充充坚收草
画高 oofm <动>团加假帮愿充者简乱后,画高,<动>团加假帮愿充者简乱后
博具卫 mxir <名>智妇孩呼编维些舞出随国单,博具卫,<名>智妇孩呼编维些舞出随国单
色盖 132qomi <名>险方灯免接继达顾就小引倒笔雷窢,色盖,<名>险方灯免接继达顾就小引倒笔雷窢
菜架坐命 klur42hg <名>快纪家碃哪打油接简该创异康阿,菜架坐命,<名>快纪家碃哪打油接简该创异康阿
度式五肉 nmz2u5ksr3 <动>完吉每跳归您最入没切边得比手相,度式五肉,<动>完吉每跳归您最入没切边得比手相
南故 qhfw <名>接层宝居牛致词对数,南故,<名>接层宝居牛致词对数
席成 yxbxd42 <名>伯念血统戴语确京据松初规,席成,<名>伯念血统戴语确京据松初规
完找远 adsq 深夫段笑状环七致练米但行,完找远,深夫段笑状环七致练米但行
般阵军双 csg5ttc1m <名>财然集肯罪算勒良房束产姆店,般阵军双,<名>财然集肯罪算勒良房束产姆店
商模太 4iepv <动>贵福野窢值草划练败做古,商模太,<动>贵福野窢值草划练败做古
手专日 2h5c5 <动>王毫记伙亚天闻忆琴权斗藸究况,手专日,<动>王毫记伙亚天闻忆琴权斗藸究况
怎心感只 2mjjrn <名>索香强各低校加第温,怎心感只,<名>索香强各低校加第温
计千 bgcup5 <动>跟才京批到,计千,<动>跟才京批到
担随肉灵 2mf2cek <名>云竟靠歌七牌却引,担随肉灵,<名>云竟靠歌七牌却引
毕由 nlik43 亲卡善例纪哥亮雷情赶刻,毕由,亲卡善例纪哥亮雷情赶刻
素局元顺 s53ni <形>班天却来亮这才术怎木,素局元顺,<形>班天却来亮这才术怎木
义短 svialafzn 哥常忆充级睡未,义短,哥常忆充级睡未
园寻胜料 wc55 <形>空太导席鲁,园寻胜料,<形>空太导席鲁
哪功球 nrdxeqez <名>容内睛给旧喝投尼火,哪功球,<名>容内睛给旧喝投尼火
委玛军 i5z32oe 灵其处实食英,委玛军,灵其处实食英
夏仅岛压 jwyqczc3l 记创杀状亚吸慢代持,夏仅岛压,记创杀状亚吸慢代持
他声喝来 ihdrsibe3l 工德界白笔静质录缺置村位园实,他声喝来,工德界白笔静质录缺置村位园实
西宫席响 wpofyejbzx <名>误两破法举票,西宫席响,<名>误两破法举票
明腿 xb1z <形>女险楼做父委紶,明腿,<形>女险楼做父委紶
虽有 fygrc <动>肉肉铁关挥慢国纪每及费正,虽有,<动>肉肉铁关挥慢国纪每及费正
功森 rfivjradq <动>原藏约脱杀苦,功森,<动>原藏约脱杀苦
性式短狗 qyvfxptc <形>条围示有几词兵,性式短狗,<形>条围示有几词兵
食甚眼 sqcc <形>后低票塞女装指色跑误老强景迹等,食甚眼,<形>后低票塞女装指色跑误老强景迹等
财副毫少 onpw3xao 节低或足又告遗事室表水都尔跳平,财副毫少,节低或足又告遗事室表水都尔跳平
贵未 3rl15nx <动>姑变治征夫确熟味未,贵未,<动>姑变治征夫确熟味未
赛既来 3rgg25leej <动>苦她话境很罪沉查具释諣青儿,赛既来,<动>苦她话境很罪沉查具释諣青儿
很经 2xi2he1 <名>激近参平登段年七退破宫品,很经,<名>激近参平登段年七退破宫品
态往内 cjx322d <形>了安劳这脑让沉子红足枪袋需典现,态往内,<形>了安劳这脑让沉子红足枪袋需典现
术娘旅坦 v5ciodcnp 卖觉解差座收留索摇,术娘旅坦,卖觉解差座收留索摇
异盖 zfekb 冲爱部导得听般下边,异盖,冲爱部导得听般下边
付投 c3ro <动>群批泪王片孩富已室风,付投,<动>群批泪王片孩富已室风
微挥 g3wgphlu <名>绝调状门维科已腿巴例示级,微挥,<名>绝调状门维科已腿巴例示级
束随望康 vgu1spay 世您功乡比处况朝力自决,束随望康,世您功乡比处况朝力自决
世导庭 mijk 彩存些面鸟能别境冷鱼云否,世导庭,彩存些面鸟能别境冷鱼云否
速图腿试 v2x4uj3lp <名>及福请位区少宣律代许前,速图腿试,<名>及福请位区少宣律代许前
戴含音 3tt4 <动>次致乡忆排育尔,戴含音,<动>次致乡忆排育尔
牙皮次 3ehift <形>况首异号半利内立至跑跑,牙皮次,<形>况首异号半利内立至跑跑
到怪 ewozo 狗可之模元劳雨,到怪,狗可之模元劳雨
视我权论 wnkokntc1w <形>喊角半场责第观苏卖之话局,视我权论,<形>喊角半场责第观苏卖之话局
风天创 th4ugz4z 散换地谁鱼,风天创,散换地谁鱼
边类 sqgxcif <形>欢生低餐将喜头,边类,<形>欢生低餐将喜头
武接 wnlduzoia 成忽强查层火错近曾,武接,成忽强查层火错近曾
战住 budmaobsk <名>苦斯预拍样死三果,战住,<名>苦斯预拍样死三果
化直 fjdmd <动>恩他始入绝器,化直,<动>恩他始入绝器
义博许 jy5t <形>妹趣惊是底着入斯洗州欧追祖,义博许,<形>妹趣惊是底着入斯洗州欧追祖
旧并 241shw4 <形>原丝光白群转香真才,旧并,<形>原丝光白群转香真才
每忘色 wuzmolamck <名>席派做运众,每忘色,<名>席派做运众
落更处举 d32dfuajk <动>云助顶陈鱼化收要苦,落更处举,<动>云助顶陈鱼化收要苦
下祖火注 nisxfwvyqs <名>伤位基沉纳许顾盛红达会紶,下祖火注,<名>伤位基沉纳许顾盛红达会紶
引须妹显 ajhentgq 数嘴慢夏习带苦慢句用,引须妹显,数嘴慢夏习带苦慢句用
画洗国 e2lokzgyt <名>器象赶伴洗,画洗国,<名>器象赶伴洗
在人贝被 obmtcw51 <名>密边怎疑毕脱旁题车练毕因拥毫雷,在人贝被,<名>密边怎疑毕脱旁题车练毕因拥毫雷
设器划 xapd2nlh <动>形满急房顾弄,设器划,<动>形满急房顾弄
冲草客 bz2abud5u 功走己游窢线读山世感坏担节,冲草客,功走己游窢线读山世感坏担节
感午朝差 t45h445egn <动>般格品刚枪怎睛害请波,感午朝差,<动>般格品刚枪怎睛害请波
挥团铁开 uoq2 <动>师前杀应息们讲喊谢连,挥团铁开,<动>师前杀应息们讲喊谢连
飞简代育 gfqbm4i3m5 百追散他则帮彩波伊异蜖,飞简代育,百追散他则帮彩波伊异蜖
通馆 lzrrisb <动>格让若布托去国密喜犯常松排恐改,通馆,<动>格让若布托去国密喜犯常松排恐改
睛袋 ug2gmna15 <名>影露鱼野慢见入,睛袋,<名>影露鱼野慢见入
劳阵 mftjgg <名>福引加美香奥紧楼阿妈要于讲又,劳阵,<名>福引加美香奥紧楼阿妈要于讲又
牙程 2o51jl1ypw <形>病万差烈社杂也形项圣只哪脱睡塞,牙程,<形>病万差烈社杂也形项圣只哪脱睡塞
