epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.76,1.4122,2.13709,1.21373,0.8893,0.84959,0.9081,0.64844,0.80012,0.77448,0.89732,0.0004125,0.0004125,0.0004125
2,379.666,0.7938,0.65723,0.93638,0.93853,0.96121,0.99319,0.74066,0.73594,0.58527,0.87908,0.000823694,0.000823694,0.000823694
3,567.796,0.73952,0.57318,0.90203,0.99099,0.9871,0.99406,0.73885,0.66678,0.56823,0.85048,0.00122939,0.00122939,0.00122939
4,755.143,0.72047,0.53885,0.89187,0.95543,0.95884,0.99441,0.77378,0.65334,0.5371,0.85433,0.00122525,0.00122525,0.00122525
5,942.34,0.67251,0.50773,0.87888,0.98215,0.98475,0.99496,0.79195,0.61157,0.48118,0.83944,0.001217,0.001217,0.001217
6,1128.84,0.61999,0.48379,0.86233,0.98334,0.99641,0.99473,0.78465,0.64855,0.46898,0.83473,0.00120875,0.00120875,0.00120875
7,1314.3,0.63241,0.47234,0.85735,0.99717,0.99545,0.99487,0.8294,0.50528,0.41859,0.82552,0.0012005,0.0012005,0.0012005
8,1499.5,0.60062,0.45252,0.85195,0.97219,0.98703,0.99106,0.75586,0.73261,0.44324,0.83435,0.00119225,0.00119225,0.00119225
9,1684.65,0.61748,0.44664,0.8508,0.99705,0.99678,0.99496,0.80027,0.71669,0.44071,0.83236,0.001184,0.001184,0.001184
10,1869.77,0.56653,0.42695,0.84189,0.99906,0.99933,0.99498,0.83287,0.45937,0.37343,0.81289,0.00117575,0.00117575,0.00117575
11,2055.51,0.52945,0.40833,0.83723,0.99786,0.99262,0.99484,0.83857,0.50908,0.3879,0.81492,0.0011675,0.0011675,0.0011675
12,2241.07,0.50922,0.39861,0.83377,0.99661,0.99924,0.99499,0.83192,0.50439,0.37426,0.80627,0.00115925,0.00115925,0.00115925
13,2426.1,0.51527,0.3953,0.83406,0.99922,0.99978,0.99497,0.84489,0.46599,0.35048,0.81785,0.001151,0.001151,0.001151
14,2611.3,0.5008,0.38468,0.8287,0.99871,0.99947,0.99499,0.77976,0.65369,0.38236,0.81661,0.00114275,0.00114275,0.00114275
15,2796.6,0.49983,0.38221,0.82816,0.99882,0.99834,0.995,0.88501,0.39045,0.32548,0.80273,0.0011345,0.0011345,0.0011345
16,2982.34,0.49923,0.38082,0.82796,0.99904,0.99943,0.995,0.76993,0.66618,0.39373,0.81438,0.00112625,0.00112625,0.00112625
17,3167.11,0.52453,0.39128,0.83619,0.99383,0.99426,0.99476,0.81994,0.4924,0.36024,0.80871,0.001118,0.001118,0.001118
18,3352.27,0.50623,0.37982,0.83281,0.99728,0.99181,0.99468,0.78435,0.59503,0.37763,0.81216,0.00110975,0.00110975,0.00110975
19,3537.73,0.50213,0.36718,0.82538,0.9989,0.99931,0.995,0.84483,0.48162,0.33431,0.80218,0.0011015,0.0011015,0.0011015
20,3722.46,0.46305,0.35106,0.82062,0.99941,0.99968,0.995,0.85791,0.43523,0.32725,0.80112,0.00109325,0.00109325,0.00109325
21,3907.07,0.4582,0.34781,0.82153,0.9995,0.99967,0.99499,0.90125,0.33019,0.29154,0.79744,0.001085,0.001085,0.001085
22,4092.13,0.44898,0.33746,0.82012,0.99936,0.99945,0.99499,0.85126,0.46667,0.30952,0.79899,0.00107675,0.00107675,0.00107675
23,4276.86,0.43171,0.32928,0.81656,0.99955,0.99967,0.99497,0.88355,0.38239,0.2929,0.79666,0.0010685,0.0010685,0.0010685
24,4461.34,0.45253,0.33271,0.81775,0.99974,0.99974,0.99499,0.90395,0.33736,0.29707,0.7987,0.00106025,0.00106025,0.00106025
25,4645.78,0.44984,0.34149,0.81926,0.99944,0.99979,0.99498,0.89737,0.353,0.29495,0.79541,0.001052,0.001052,0.001052
