epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.398,1.24447,1.8444,1.13751,0.9412,0.71741,0.78179,0.61231,0.81534,0.82378,0.96086,0.0004125,0.0004125,0.0004125
2,302.345,0.71324,0.61175,0.91945,0.94081,0.91846,0.97384,0.71482,0.67901,0.60427,0.9174,0.000823694,0.000823694,0.000823694
3,477.13,0.69538,0.54873,0.89942,0.97399,0.98937,0.99365,0.74891,0.64694,0.52548,0.88007,0.00122939,0.00122939,0.00122939
4,666.043,0.66398,0.52357,0.88578,0.98704,0.73868,0.74147,0.55928,0.5837,0.52733,0.87275,0.00122525,0.00122525,0.00122525
5,862.368,0.60348,0.47719,0.86757,0.99586,0.66035,0.66249,0.5421,0.47983,0.42287,0.84569,0.001217,0.001217,0.001217
6,1060.55,0.56578,0.45035,0.86299,0.9985,0.51667,0.515,0.42636,0.4459,0.39269,0.8478,0.00120875,0.00120875,0.00120875
7,1258.93,0.54661,0.43313,0.85516,0.99916,0.47439,0.4775,0.37687,0.57104,0.40759,0.83788,0.0012005,0.0012005,0.0012005
8,1460.65,0.55815,0.42827,0.84718,0.99864,0.50328,0.505,0.41053,0.44755,0.39042,0.8266,0.00119225,0.00119225,0.00119225
9,1667.62,0.52889,0.41325,0.84363,0.99793,0.57277,0.575,0.45827,0.55629,0.39303,0.8309,0.001184,0.001184,0.001184
10,1885.72,0.54502,0.40827,0.84514,0.99175,0.37555,0.37967,0.29085,0.58598,0.39737,0.84583,0.00117575,0.00117575,0.00117575
11,2103.7,0.52869,0.39747,0.84371,0.99788,0.33689,0.33499,0.27143,0.5118,0.36082,0.82706,0.0011675,0.0011675,0.0011675
12,2323.45,0.53846,0.39268,0.84278,0.9982,0.32614,0.325,0.26635,0.46556,0.36071,0.82495,0.00115925,0.00115925,0.00115925
