epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0815,1.41938,1.72383,1.36056,0.98936,0.984,0.99409,0.7736,0.83087,0.66802,0.98465,0.000656085,0.000656085,0.000656085
2,155.745,0.69874,0.65739,1.01498,0.99525,0.94464,0.9902,0.81698,0.65059,0.70606,1.05427,0.00129656,0.00129656,0.00129656
3,232.98,0.77427,0.65599,1.02201,0.99887,0.97134,0.9936,0.84695,0.6638,0.57193,0.97269,0.00191064,0.00191064,0.00191064
4,310.526,0.64919,0.57427,0.96962,0.99388,0.98996,0.99487,0.85716,0.57766,0.49452,0.90738,0.0018812,0.0018812,0.0018812
5,387.934,0.54748,0.5152,0.95807,0.98895,0.98651,0.99472,0.88683,0.50163,0.4482,0.94881,0.0018416,0.0018416,0.0018416
6,465.908,0.46265,0.47398,0.91358,0.98726,0.99645,0.99478,0.92124,0.39386,0.39562,0.90202,0.001802,0.001802,0.001802
7,544.021,0.45367,0.46328,0.90324,0.99422,0.99765,0.99496,0.92538,0.41601,0.43653,0.92596,0.0017624,0.0017624,0.0017624
8,622.081,0.41301,0.42136,0.87674,0.99083,0.99216,0.9947,0.95713,0.32542,0.3428,0.90697,0.0017228,0.0017228,0.0017228
9,700.216,0.39445,0.40877,0.87856,0.99749,0.99796,0.99495,0.9315,0.37607,0.3785,0.92141,0.0016832,0.0016832,0.0016832
10,778.091,0.37204,0.38716,0.87363,0.99859,0.99927,0.99498,0.91705,0.37104,0.36893,0.94128,0.0016436,0.0016436,0.0016436
11,855.713,0.35803,0.37999,0.86583,0.99828,0.99883,0.99498,0.89579,0.42544,0.3463,0.90995,0.001604,0.001604,0.001604
12,933.923,0.37301,0.37611,0.86198,0.99778,0.99812,0.99496,0.92476,0.36535,0.31326,0.89137,0.0015644,0.0015644,0.0015644
13,1011.86,0.34045,0.35462,0.85041,0.99802,0.99812,0.99495,0.97966,0.21945,0.2842,0.89194,0.0015248,0.0015248,0.0015248
14,1092.03,0.3187,0.33141,0.84932,0.99929,0.99922,0.99498,0.98388,0.22645,0.27476,0.89433,0.0014852,0.0014852,0.0014852
15,1170.55,0.30688,0.32194,0.84601,0.99903,0.99906,0.99499,0.96662,0.28977,0.31138,0.90121,0.0014456,0.0014456,0.0014456
16,1248.93,0.33238,0.32753,0.85961,0.99935,0.99937,0.995,0.95362,0.28706,0.30101,0.92181,0.001406,0.001406,0.001406
17,1327.4,0.35326,0.33465,0.8655,0.99872,0.99875,0.995,0.98126,0.21152,0.27333,0.90474,0.0013664,0.0013664,0.0013664
18,1405.52,0.33512,0.32346,0.84862,0.9978,0.99704,0.99471,0.96688,0.28312,0.31146,0.90533,0.0013268,0.0013268,0.0013268
19,1483.75,0.32395,0.30708,0.84134,0.99844,0.99686,0.995,0.98523,0.20574,0.23403,0.87991,0.0012872,0.0012872,0.0012872
20,1562.37,0.29045,0.29755,0.83893,0.99855,0.99686,0.99499,0.95791,0.26001,0.28512,0.89695,0.0012476,0.0012476,0.0012476
21,1640.57,0.27423,0.28878,0.84055,0.99764,0.99702,0.99497,0.98937,0.21121,0.25085,0.88998,0.001208,0.001208,0.001208
22,1718.82,0.26937,0.28277,0.8315,0.9985,0.99702,0.995,0.98171,0.2197,0.2332,0.88129,0.0011684,0.0011684,0.0011684
23,1796.64,0.27284,0.27403,0.83368,0.99824,0.99859,0.99496,0.9836,0.20326,0.2578,0.88245,0.0011288,0.0011288,0.0011288
24,1874.52,0.26982,0.27199,0.8344,0.99829,0.99906,0.995,0.97839,0.26384,0.26611,0.90556,0.0010892,0.0010892,0.0010892
25,1952.77,0.268,0.26766,0.83261,0.99899,0.99702,0.99499,0.92865,0.25815,0.25543,0.89113,0.0010496,0.0010496,0.0010496
26,2030.72,0.25039,0.25928,0.83229,0.99984,0.99642,0.995,0.98402,0.22257,0.23919,0.87483,0.00101,0.00101,0.00101
27,2108.82,0.25012,0.25785,0.83026,0.99816,0.99702,0.995,0.98981,0.18382,0.22956,0.88043,0.0009704,0.0009704,0.0009704
28,2186.89,0.2335,0.25041,0.82585,0.99897,0.99765,0.995,0.9862,0.20863,0.22113,0.87709,0.0009308,0.0009308,0.0009308
29,2265.39,0.23571,0.24524,0.82741,0.9988,0.99702,0.995,0.98494,0.24156,0.24845,0.87791,0.0008912,0.0008912,0.0008912
30,2343.61,0.2259,0.24046,0.82,0.99855,0.99702,0.995,0.99227,0.15445,0.20826,0.88023,0.0008516,0.0008516,0.0008516
31,2421.52,0.22957,0.23594,0.82405,0.99946,0.99702,0.995,0.99245,0.15798,0.20281,0.88692,0.000812,0.000812,0.000812
