epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.126,1.41014,1.46554,1.15474,0.62409,0.1,0.08383,0.02508,2.61499,3.11046,2.01735,0.0031,0.0031,0.0721
2,245.611,1.0734,0.82868,0.97648,0.05312,0.21333,0.01452,0.00294,2.72705,4.57376,2.87725,0.00623763,0.00623763,0.0432376
3,364.048,0.97893,0.73711,0.94922,0.74161,0.70979,0.84483,0.49604,1.4397,1.47542,1.15788,0.0093119,0.0093119,0.0143119
4,482.809,0.88686,0.67262,0.93068,0.00138,0.00868,3e-05,1e-05,5.4204,7.16777,4.79074,0.009703,0.009703,0.009703
5,601.466,0.85339,0.62672,0.91816,0.45702,0.27147,0.31772,0.18379,1.86255,2.75159,1.41782,0.009604,0.009604,0.009604
6,721.408,0.8396,0.61318,0.91307,0.96315,0.97173,0.99075,0.76418,0.83228,0.67535,0.97509,0.009505,0.009505,0.009505
7,841.486,0.73695,0.56349,0.88804,0.21992,0.12898,0.08036,0.02369,2.26002,3.19458,1.54999,0.009406,0.009406,0.009406
8,960.827,0.84054,0.59446,0.88994,0.53333,0.49262,0.51771,0.2942,1.63465,2.22067,1.15239,0.009307,0.009307,0.009307
9,1080.41,0.90084,0.59311,0.8937,0.51931,0.59186,0.53655,0.36162,1.2342,1.64042,1.37463,0.009208,0.009208,0.009208
10,1198.9,0.7545,0.54163,0.87192,0.97693,0.98506,0.99348,0.84418,0.62952,0.53332,0.89559,0.009109,0.009109,0.009109
11,1318.29,0.695,0.51447,0.86706,0.98699,0.98248,0.99459,0.9017,0.49142,0.49314,0.89961,0.00901,0.00901,0.00901
12,1437.52,0.62982,0.47621,0.85625,0.94384,0.95188,0.98634,0.81572,0.63201,0.63174,0.89637,0.008911,0.008911,0.008911
13,1556.56,0.56575,0.44962,0.84883,0.98531,0.98632,0.99358,0.87168,0.5409,0.47816,0.90848,0.008812,0.008812,0.008812
14,1675.84,0.55898,0.43195,0.84684,0.99022,0.98885,0.99489,0.89927,0.48074,0.41281,0.89302,0.008713,0.008713,0.008713
15,1795.24,0.53723,0.41459,0.84544,0.98909,0.99486,0.99434,0.88793,0.49424,0.40012,0.8886,0.008614,0.008614,0.008614
16,1914.62,0.50826,0.40143,0.83692,0.99171,0.99568,0.99487,0.91743,0.41271,0.37022,0.87289,0.008515,0.008515,0.008515
17,2034.15,0.49447,0.38203,0.8366,0.99363,0.98986,0.99485,0.90329,0.47011,0.39305,0.90864,0.008416,0.008416,0.008416
18,2153.48,0.54002,0.39819,0.84136,0.99263,0.99449,0.99493,0.91047,0.435,0.37084,0.87923,0.008317,0.008317,0.008317
19,2273.01,0.55321,0.39457,0.83882,0.99133,0.98865,0.9948,0.90582,0.43669,0.37764,0.88381,0.008218,0.008218,0.008218
20,2391.97,0.52378,0.38544,0.83515,0.96612,0.96184,0.99369,0.91312,0.44345,0.49107,0.89977,0.008119,0.008119,0.008119
21,2510.74,0.50284,0.3747,0.83555,0.99783,0.98818,0.99484,0.90588,0.43638,0.35085,0.87303,0.00802,0.00802,0.00802
22,2629.47,0.46731,0.36296,0.82732,0.99329,0.99427,0.99486,0.92548,0.41736,0.35516,0.89209,0.007921,0.007921,0.007921
23,2748.27,0.47821,0.36538,0.82832,0.99717,0.99621,0.99498,0.91594,0.42551,0.34754,0.87681,0.007822,0.007822,0.007822
24,2867.15,0.49446,0.37103,0.82509,0.98795,0.9866,0.99473,0.93162,0.37287,0.38062,0.88035,0.007723,0.007723,0.007723
25,2986.23,0.43824,0.34195,0.82045,0.99668,0.99696,0.99499,0.91662,0.42273,0.33171,0.86812,0.007624,0.007624,0.007624
26,3105.87,0.50167,0.3562,0.81982,0.99004,0.98565,0.9944,0.92119,0.41409,0.35243,0.87695,0.007525,0.007525,0.007525
27,3224.85,0.45874,0.34135,0.82531,0.99596,0.99329,0.99492,0.95115,0.32196,0.30363,0.87059,0.007426,0.007426,0.007426
28,3343.22,0.4221,0.32779,0.8215,0.99636,0.99857,0.995,0.93595,0.36636,0.30043,0.86881,0.007327,0.007327,0.007327
29,3461.98,0.43294,0.32863,0.81943,0.99713,0.99678,0.99495,0.94059,0.34552,0.28836,0.87311,0.007228,0.007228,0.007228
30,3581.16,0.40959,0.32201,0.81469,0.99805,0.99803,0.995,0.94274,0.33061,0.27967,0.86962,0.007129,0.007129,0.007129
31,3700.07,0.38614,0.30975,0.81342,0.99826,0.99658,0.99492,0.96603,0.26911,0.25599,0.86128,0.00703,0.00703,0.00703
32,3818.94,0.36702,0.30068,0.81383,0.98928,0.98025,0.99448,0.94646,0.3216,0.37203,0.88645,0.006931,0.006931,0.006931
33,3938.86,0.39259,0.31387,0.81748,0.99248,0.99651,0.99493,0.94757,0.34725,0.29457,0.86822,0.006832,0.006832,0.006832
34,4058.23,0.41542,0.32323,0.81519,0.98575,0.97918,0.99454,0.94012,0.35252,0.35849,0.89017,0.006733,0.006733,0.006733
35,4178.05,0.39357,0.30818,0.81606,0.98888,0.97513,0.99249,0.92824,0.39086,0.34925,0.89206,0.006634,0.006634,0.006634
36,4298.27,0.38448,0.30456,0.81684,0.99643,0.99755,0.99497,0.9508,0.32094,0.28466,0.8814,0.006535,0.006535,0.006535
37,4417.52,0.37301,0.29725,0.81248,0.99671,0.99836,0.99498,0.95127,0.31541,0.29303,0.87806,0.006436,0.006436,0.006436
38,4537.59,0.36231,0.29324,0.81364,0.97757,0.9599,0.98908,0.9276,0.37889,0.37363,0.87621,0.006337,0.006337,0.006337
39,4657.6,0.37694,0.29796,0.81055,0.99475,0.9972,0.99487,0.94103,0.32297,0.27381,0.87016,0.006238,0.006238,0.006238
40,4778.03,0.35334,0.28855,0.81227,0.99724,0.99579,0.99499,0.95557,0.31138,0.28796,0.87486,0.006139,0.006139,0.006139
41,4898.23,0.35985,0.29126,0.80797,0.99892,0.99923,0.995,0.9589,0.27743,0.24365,0.86776,0.00604,0.00604,0.00604
42,5018.17,0.34795,0.28303,0.80893,0.9981,0.99857,0.995,0.96909,0.25862,0.24601,0.8688,0.005941,0.005941,0.005941
43,5137.92,0.36227,0.28976,0.80877,0.99745,0.99698,0.99499,0.96906,0.26817,0.26179,0.86796,0.005842,0.005842,0.005842
44,5258.21,0.34011,0.27742,0.81058,0.99713,0.99765,0.995,0.97143,0.26564,0.24523,0.86943,0.005743,0.005743,0.005743
45,5378.11,0.34872,0.27487,0.80662,0.99884,0.99811,0.995,0.95881,0.29915,0.25427,0.86278,0.005644,0.005644,0.005644
46,5497.76,0.36061,0.27836,0.80926,0.99543,0.99351,0.99492,0.96368,0.27424,0.27203,0.87564,0.005545,0.005545,0.005545
47,5618.12,0.36231,0.2792,0.80717,0.72969,0.7147,0.77136,0.69056,0.56115,0.73856,0.92515,0.005446,0.005446,0.005446
48,5738.2,0.37874,0.28034,0.81317,0.99785,0.99632,0.99499,0.95477,0.32192,0.28527,0.87182,0.005347,0.005347,0.005347
49,5858.69,0.36128,0.27715,0.8116,0.99856,0.99654,0.995,0.97139,0.26331,0.25237,0.86778,0.005248,0.005248,0.005248
50,5978.58,0.31854,0.25912,0.80806,0.99613,0.99275,0.99491,0.96726,0.25084,0.25042,0.86841,0.005149,0.005149,0.005149
51,6097.8,0.32239,0.26119,0.80606,0.99772,0.99844,0.995,0.95415,0.30122,0.25157,0.87453,0.00505,0.00505,0.00505
52,6217.52,0.31321,0.25683,0.80794,0.99863,0.99884,0.995,0.97523,0.24289,0.23511,0.86358,0.004951,0.004951,0.004951
53,6336.78,0.3407,0.2659,0.80355,0.99822,0.99706,0.995,0.9794,0.22469,0.21632,0.86359,0.004852,0.004852,0.004852
54,6456.61,0.32489,0.25854,0.805,0.99785,0.9975,0.995,0.95686,0.28255,0.23922,0.8695,0.004753,0.004753,0.004753
55,6576.32,0.30203,0.24946,0.80403,0.99856,0.9979,0.995,0.97778,0.23302,0.22195,0.86444,0.004654,0.004654,0.004654
56,6696.23,0.30314,0.25044,0.80206,0.99958,0.99947,0.995,0.98112,0.21879,0.21183,0.86147,0.004555,0.004555,0.004555
57,6815.8,0.3013,0.24567,0.80346,0.99963,0.9995,0.995,0.97252,0.24638,0.22391,0.86136,0.004456,0.004456,0.004456
58,6935.76,0.28579,0.24049,0.79867,0.99786,0.99821,0.995,0.96847,0.26561,0.23979,0.86709,0.004357,0.004357,0.004357
59,7055.79,0.29206,0.24477,0.80405,0.99836,0.99848,0.995,0.96456,0.26009,0.22242,0.8617,0.004258,0.004258,0.004258
60,7175.72,0.29604,0.24286,0.80041,0.99777,0.99596,0.99499,0.96803,0.2694,0.23904,0.86923,0.004159,0.004159,0.004159
61,7295.74,0.2966,0.24148,0.80052,0.99953,0.99979,0.995,0.98665,0.20207,0.18827,0.85852,0.00406,0.00406,0.00406
62,7416.01,0.27868,0.23365,0.79748,0.99883,0.99848,0.995,0.98032,0.22423,0.21349,0.86544,0.003961,0.003961,0.003961
63,7536.87,0.29345,0.23896,0.80036,0.99927,0.99878,0.995,0.93636,0.3679,0.24372,0.87162,0.003862,0.003862,0.003862
64,7655.71,0.2933,0.23915,0.80124,0.99713,0.99643,0.99498,0.96765,0.2478,0.23621,0.8686,0.003763,0.003763,0.003763
65,7774.4,0.27834,0.23381,0.80109,0.99886,0.99929,0.995,0.97526,0.21929,0.21314,0.86166,0.003664,0.003664,0.003664
66,7893.25,0.28139,0.2324,0.80026,0.99968,0.99924,0.995,0.98467,0.21026,0.20172,0.8633,0.003565,0.003565,0.003565
67,8012.2,0.26862,0.22706,0.79751,0.99904,0.99925,0.995,0.97905,0.2226,0.19938,0.8631,0.003466,0.003466,0.003466
68,8131.12,0.27666,0.22891,0.79815,0.99866,0.99675,0.995,0.9847,0.20885,0.20784,0.86938,0.003367,0.003367,0.003367
69,8250.74,0.28592,0.23199,0.80011,0.99635,0.99477,0.99496,0.96907,0.25796,0.25156,0.869,0.003268,0.003268,0.003268
70,8369.98,0.28204,0.2312,0.80141,0.99918,0.99853,0.995,0.9792,0.22056,0.21374,0.86384,0.003169,0.003169,0.003169
71,8489.69,0.28502,0.23076,0.79781,0.99931,0.99887,0.995,0.98404,0.20055,0.1895,0.86234,0.00307,0.00307,0.00307
72,8608.7,0.26828,0.22301,0.79861,0.99921,0.99843,0.995,0.98764,0.1865,0.18703,0.8608,0.002971,0.002971,0.002971
73,8728.52,0.27845,0.22868,0.7983,0.9907,0.93779,0.9796,0.94568,0.29109,0.31169,0.87375,0.002872,0.002872,0.002872
74,8848.49,0.26921,0.22479,0.79971,0.38955,0.29907,0.16374,0.1139,1.00477,2.53443,1.07489,0.002773,0.002773,0.002773
75,8968.25,0.26735,0.22436,0.79683,0.99959,0.99916,0.995,0.98905,0.19336,0.1955,0.86321,0.002674,0.002674,0.002674
76,9087.71,0.27167,0.22384,0.7983,0.99363,0.979,0.99343,0.97637,0.24029,0.27737,0.86627,0.002575,0.002575,0.002575
77,9207.75,0.28003,0.22931,0.79972,0.91292,0.78007,0.8662,0.82654,0.31815,0.6185,0.883,0.002476,0.002476,0.002476
78,9326.88,0.25807,0.21844,0.79815,0.99898,0.99829,0.995,0.98693,0.20636,0.20739,0.86059,0.002377,0.002377,0.002377
79,9445.9,0.24891,0.21445,0.79537,0.99946,0.9996,0.995,0.98975,0.17943,0.18648,0.85552,0.002278,0.002278,0.002278
